Uydu_Adi,Yukseklik_km,Orbital_Hiz_km_s,Orbital_Periode_dk,Yer_Hizi_km_s
TURKSAT 3A,35766.09895458028,3.075647587331707,1434.6853983374212,2.731159389688078
RASAT,665.8281388197861,7.526280768821582,97.90957076289324,7.939409049778946
GOKTURK 2,652.1813218027779,7.533589417571554,97.62488867056312,7.9276687482010875
TURKSAT 4A,35778.12262337081,3.0752088687618278,1435.299515575685,2.731139477352587
TURKSAT 4B,35777.69285370275,3.0752245469244976,1435.2775632815838,2.7777117673177165
GOKTURK 1A,693.9869848521747,7.511267083949299,98.49785644798368,7.048992409555309
TURKSAT 5A,35786.1100926403,3.0749175264487336,1435.7075295454865,2.6774525435651313
TURKSAT 5B,35768.35938500769,3.07556509461317,1434.8008447053749,2.7314632009211275
CONNECTA T1.2,434.4109054186272,7.653176186918707,93.11963374399062,7.192858175438398
IMECE,671.7504882101427,7.523115624826135,98.0332010397986,7.084864247307429
TURKSAT 6A,35781.55263712735,3.0750837491350254,1435.4747219714566,2.7308734730643924
CONNECTA IOT-1,522.065140176967,7.60436048701429,94.92449690356702,7.141494080847945
CONNECTA IOT-3,504.057085707451,7.61431314491608,94.55275620358019,7.189092866796586
CONNECTA IOT-2,502.840042137458,7.614987188874323,94.52765028889749,8.069384243878407
CONNECTA IOT-4,462.741360875822,7.637295929187307,93.70171438913422,8.059533402451665
CONNECTA IOT-8,614.5057824913947,7.553877881829256,96.84038666935933,7.910388542345215
CONNECTA IOT-5,591.113928717899,7.566557294685253,96.35437059897899,8.027104697521994
CONNECTA IOT-6,606.4895114109578,7.558215871191476,96.67373960169327,7.098105081252455
CONNECTA IOT-7,587.6353272473222,7.5684483083297645,96.28216481763447,8.016490956190134
CONNECTA IOT-9,525.710891825024,7.602350306001369,94.99981540614854,7.846004454982804
ELARASAT MMS-1,501.9980141530506,7.6154536400448505,94.51028172443532,7.926897493248878
CONNECTA IOT-12,514.2583135778134,7.608670354748194,94.76328069378322,7.860860117474694
CONNECTA IOT-10,507.4529237361828,7.612433349665532,94.62281936529652,7.91994587049569
CONNECTA IOT-11,527.8182212635696,7.60118910130645,95.0433603370818,7.216527206818001
CONNECTA IOT-16,519.3752283531952,7.605844663314673,94.86893810440468,7.816474621933518
CONNECTA IOT-13,531.7982860336004,7.5989974113669865,95.12562079210005,7.478025493212883
CONNECTA IOT-14,516.0515065252184,7.607679749244696,94.80030325033174,7.8157028315379575
CONNECTA IOT-15,542.2830111306815,7.593232883142356,95.34243386710264,7.95778268487615
